,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_pagePath,ga_exitPagePath,ga_pageDepth,ga_pageviews,ga_timeOnPage,ga_pageviewsPerSession,ga_avgTimeOnPage
159,2022-06-23 15:10,Hanoi,Vietnam,desktop,/shop/,/cart/,4,1.0,9.0,0.0,9.0
160,2022-06-23 17:10,Wilmington Manor,United States,desktop,/,/,1,1.0,0.0,1.0,0.0
161,2022-06-23 17:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
162,2022-06-24 08:10,Hanoi,Vietnam,desktop,/,/cart/,4,1.0,752.0,1.0,752.0
163,2022-06-24 08:10,Hanoi,Vietnam,desktop,/,/cart/,4,1.0,4.0,0.0,4.0
164,2022-06-24 08:10,Hanoi,Vietnam,desktop,/cart/,/cart/,4,1.0,0.0,0.0,0.0
165,2022-06-24 08:10,Hanoi,Vietnam,desktop,/shop/,/cart/,4,1.0,4.0,0.0,4.0
166,2022-06-24 10:10,Hanoi,Vietnam,desktop,/,/shop/,3,1.0,627.0,1.0,627.0
167,2022-06-24 10:10,Hanoi,Vietnam,desktop,/,/shop/,3,1.0,163.0,0.0,163.0
168,2022-06-24 10:10,Hanoi,Vietnam,desktop,/shop/,/shop/,3,1.0,0.0,0.0,0.0
169,2022-06-24 10:10,Hanoi,Vietnam,desktop,/,/shop/,3,1.0,1316.0,1.0,1316.0
170,2022-06-24 11:10,Hanoi,Vietnam,desktop,/,/shop/,3,1.0,393.0,0.0,393.0
171,2022-06-24 11:10,Hanoi,Vietnam,desktop,/shop/,/shop/,3,1.0,0.0,0.0,0.0
172,2022-06-24 15:10,Bengaluru,India,desktop,/product/power-bi-embedded/,/product/power-bi-embedded/,1,1.0,0.0,1.0,0.0
173,2022-06-24 17:10,Hanoi,Vietnam,desktop,/,/,1,1.0,0.0,1.0,0.0
174,2022-06-24 17:10,Bengaluru,India,desktop,/product/power-bi-embedded/,/product/power-bi-embedded/,1,1.0,0.0,1.0,0.0
175,2022-06-24 21:10,Paris,France,desktop,/product/khoa-hoc-power-bi/,/product/khoa-hoc-power-bi/,1,1.0,0.0,1.0,0.0
176,2022-06-27 08:10,Hanoi,Vietnam,desktop,/,/,19,1.0,163.0,1.0,163.0
177,2022-06-27 09:10,Hanoi,Vietnam,desktop,/,/,19,1.0,2.0,0.0,2.0
178,2022-06-27 09:10,Hanoi,Vietnam,desktop,/product/khoa-hoc-power-bi/,/,19,1.0,12.0,0.0,12.0
179,2022-06-27 09:10,Hanoi,Vietnam,desktop,/shop/,/,19,1.0,10.0,0.0,10.0
