,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_users,ga_pageviews,ga_bounces,ga_sessions,ga_timeOnPage
109,2022-06-23 17:10,Wilmington Manor,United States,desktop,1.0,1.0,1.0,1.0,0.0
110,2022-06-23 17:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
111,2022-06-24 08:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,752.0
112,2022-06-24 08:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,0.0,8.0
113,2022-06-24 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,627.0
114,2022-06-24 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,163.0
115,2022-06-24 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
116,2022-06-24 10:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,1316.0
117,2022-06-24 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,393.0
118,2022-06-24 11:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,0.0
119,2022-06-24 15:10,Bengaluru,India,desktop,1.0,1.0,1.0,1.0,0.0
120,2022-06-24 17:10,Hanoi,Vietnam,desktop,1.0,1.0,1.0,1.0,0.0
121,2022-06-24 17:10,Bengaluru,India,desktop,1.0,1.0,1.0,1.0,0.0
122,2022-06-24 21:10,Paris,France,desktop,1.0,1.0,1.0,1.0,0.0
123,2022-06-27 08:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,1.0,163.0
124,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,3.0,0.0,0.0,24.0
125,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,6.0,0.0,0.0,846.0
126,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,173.0
127,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,1.0,0.0,0.0,5.0
128,2022-06-27 09:10,Hanoi,Vietnam,desktop,1.0,4.0,0.0,0.0,858.0
