,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_userType,ga_sessionCount,ga_daysSinceLastSession,ga_users,ga_newUsers,ga_sessionsPerUser
117,2022-06-24 11:10,Hanoi,Vietnam,desktop,Returning Visitor,21,0,1.0,0.0,0.0
118,2022-06-24 11:10,Hanoi,Vietnam,desktop,Returning Visitor,21,0,1.0,0.0,0.0
119,2022-06-24 15:10,Bengaluru,India,desktop,New Visitor,1,0,1.0,1.0,1.0
120,2022-06-24 17:10,Hanoi,Vietnam,desktop,Returning Visitor,5,2,1.0,0.0,1.0
121,2022-06-24 17:10,Bengaluru,India,desktop,Returning Visitor,2,0,1.0,0.0,1.0
122,2022-06-24 21:10,Paris,France,desktop,New Visitor,1,0,1.0,1.0,1.0
123,2022-06-27 08:10,Hanoi,Vietnam,desktop,Returning Visitor,22,2,1.0,0.0,1.0
124,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,22,2,1.0,0.0,0.0
125,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,22,2,1.0,0.0,0.0
126,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,22,2,1.0,0.0,0.0
127,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,22,2,1.0,0.0,0.0
128,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,22,2,1.0,0.0,0.0
129,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,22,2,1.0,0.0,0.0
130,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,22,2,1.0,0.0,0.0
131,2022-06-27 09:10,Hanoi,Vietnam,desktop,New Visitor,1,0,1.0,1.0,1.0
132,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,22,2,1.0,0.0,0.0
133,2022-06-27 09:10,Hanoi,Vietnam,mobile,Returning Visitor,3,6,1.0,0.0,1.0
134,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,23,0,1.0,0.0,1.0
135,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,23,0,1.0,0.0,0.0
136,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,23,0,1.0,0.0,0.0
137,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,23,0,1.0,0.0,0.0
138,2022-06-27 09:10,Hanoi,Vietnam,desktop,Returning Visitor,23,0,1.0,0.0,0.0
139,2022-06-27 10:10,Hanoi,Vietnam,desktop,Returning Visitor,23,0,1.0,0.0,0.0
140,2022-06-27 10:10,Hanoi,Vietnam,desktop,Returning Visitor,23,0,1.0,0.0,0.0
141,2022-06-27 10:10,Hanoi,Vietnam,desktop,Returning Visitor,23,0,1.0,0.0,0.0
142,2022-06-27 10:10,Hanoi,Vietnam,desktop,Returning Visitor,23,0,1.0,0.0,0.0
143,2022-06-27 10:10,Hanoi,Vietnam,desktop,Returning Visitor,23,0,1.0,0.0,0.0
144,2022-06-27 10:10,Hanoi,Vietnam,desktop,Returning Visitor,24,0,1.0,0.0,1.0
145,2022-06-27 10:10,Hanoi,Vietnam,desktop,Returning Visitor,24,0,1.0,0.0,0.0
146,2022-06-27 11:10,Hanoi,Vietnam,desktop,Returning Visitor,25,0,1.0,0.0,1.0
147,2022-06-27 11:10,Hanoi,Vietnam,desktop,Returning Visitor,25,0,1.0,0.0,0.0
148,2022-06-27 11:10,Hanoi,Vietnam,desktop,Returning Visitor,25,0,1.0,0.0,0.0
149,2022-06-27 11:10,Hanoi,Vietnam,desktop,Returning Visitor,25,0,1.0,0.0,0.0
150,2022-06-27 13:10,Hanoi,Vietnam,desktop,Returning Visitor,26,0,1.0,0.0,1.0
151,2022-06-27 14:10,Hanoi,Vietnam,desktop,Returning Visitor,26,0,1.0,0.0,0.0
152,2022-06-27 14:10,Hanoi,Vietnam,desktop,Returning Visitor,27,0,1.0,0.0,1.0
153,2022-06-27 14:10,Hanoi,Vietnam,desktop,Returning Visitor,27,0,1.0,0.0,0.0
154,2022-06-27 14:10,Hanoi,Vietnam,desktop,New Visitor,1,0,1.0,1.0,1.0
155,2022-06-27 15:10,Hanoi,Vietnam,desktop,Returning Visitor,27,0,1.0,0.0,0.0
156,2022-06-27 15:10,Hanoi,Vietnam,desktop,Returning Visitor,28,0,1.0,0.0,1.0
157,2022-06-28 09:10,Hanoi,Vietnam,desktop,Returning Visitor,29,0,1.0,0.0,1.0
158,2022-06-28 09:10,Hanoi,Vietnam,desktop,Returning Visitor,30,0,1.0,0.0,1.0
159,2022-06-28 10:10,Hanoi,Vietnam,desktop,Returning Visitor,30,0,1.0,0.0,0.0
160,2022-06-28 10:10,Hanoi,Vietnam,desktop,Returning Visitor,31,0,1.0,0.0,1.0
161,2022-06-28 10:10,Hanoi,Vietnam,desktop,Returning Visitor,31,0,1.0,0.0,0.0
162,2022-06-28 11:10,Hanoi,Vietnam,desktop,New Visitor,1,0,1.0,1.0,1.0
163,2022-06-28 11:10,Hanoi,Vietnam,desktop,Returning Visitor,31,0,1.0,0.0,0.0
164,2022-06-28 11:10,Hanoi,Vietnam,desktop,New Visitor,1,0,1.0,1.0,1.0
165,2022-06-28 11:10,Hanoi,Vietnam,desktop,New Visitor,1,0,1.0,1.0,1.0
166,2022-06-28 11:10,Hanoi,Vietnam,desktop,New Visitor,1,0,1.0,0.0,0.0
167,2022-06-28 11:10,Hanoi,Vietnam,desktop,New Visitor,1,0,2.0,0.0,0.0
168,2022-06-28 11:10,Hanoi,Vietnam,desktop,New Visitor,1,0,1.0,1.0,1.0
169,2022-06-28 11:10,Hanoi,Vietnam,desktop,Returning Visitor,31,0,1.0,0.0,0.0
170,2022-06-28 13:10,Hanoi,Vietnam,desktop,Returning Visitor,32,0,1.0,0.0,1.0
171,2022-06-28 13:10,Hanoi,Vietnam,desktop,New Visitor,1,0,1.0,1.0,1.0
172,2022-06-28 13:10,Hanoi,Vietnam,desktop,Returning Visitor,32,0,1.0,0.0,0.0
173,2022-06-28 13:10,Hanoi,Vietnam,desktop,New Visitor,1,0,1.0,1.0,1.0
174,2022-06-28 13:10,Hanoi,Vietnam,desktop,New Visitor,1,0,1.0,0.0,0.0
175,2022-06-28 13:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,1.0
176,2022-06-28 13:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,0.0
177,2022-06-28 13:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,0.0
178,2022-06-28 13:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,1.0
179,2022-06-28 13:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,0.0
180,2022-06-28 14:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,2.0,0.0,0.0
181,2022-06-28 14:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,0.0
182,2022-06-28 14:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,0.0
183,2022-06-28 14:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,0.0
184,2022-06-28 14:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,0.0
185,2022-06-28 14:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,2.0,0.0,0.5
186,2022-06-28 14:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,2.0,0.0,0.0
187,2022-06-28 14:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,0.0
188,2022-06-28 14:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,1.0,0.0,0.0
189,2022-06-28 14:10,Hanoi,Vietnam,desktop,Returning Visitor,2,0,2.0,0.0,0.0
190,2022-06-28 17:10,Bien Hoa,Vietnam,desktop,New Visitor,1,0,1.0,1.0,1.0
