,ga_dateHourMinute,ga_city,ga_country,ga_deviceCategory,ga_sessionDurationBucket,ga_sessions,ga_bounces,ga_bounceRate,ga_sessionDuration,ga_avgSessionDuration,ga_hits
79,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
80,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,5.0
81,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
82,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
83,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,4.0
84,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,4.0
85,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
86,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,4.0
87,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,2.0
88,2022-06-20 14:10,Hanoi,Vietnam,desktop,4628,0.0,0.0,0.0,0.0,0.0,1.0
89,2022-06-20 16:10,Hanoi,Vietnam,desktop,104,1.0,0.0,0.0,104.0,104.0,1.0
90,2022-06-20 16:10,Hanoi,Vietnam,desktop,104,0.0,0.0,0.0,0.0,0.0,3.0
91,2022-06-20 17:10,Hanoi,Vietnam,desktop,1369,1.0,0.0,0.0,1369.0,1369.0,1.0
92,2022-06-20 17:10,Hanoi,Vietnam,desktop,1369,0.0,0.0,0.0,0.0,0.0,2.0
93,2022-06-21 00:10,Hanoi,Vietnam,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
94,2022-06-21 07:10,(not set),China,mobile,0,1.0,1.0,100.0,0.0,0.0,1.0
95,2022-06-21 07:10,(not set),China,mobile,0,1.0,1.0,100.0,0.0,0.0,1.0
96,2022-06-21 11:10,Hanoi,Vietnam,desktop,2129,1.0,0.0,0.0,2129.0,2129.0,1.0
97,2022-06-21 11:10,Hanoi,Vietnam,desktop,2129,0.0,0.0,0.0,0.0,0.0,2.0
98,2022-06-21 11:10,Hanoi,Vietnam,desktop,2129,0.0,0.0,0.0,0.0,0.0,2.0
99,2022-06-21 11:10,Hanoi,Vietnam,desktop,2129,0.0,0.0,0.0,0.0,0.0,1.0
100,2022-06-21 11:10,Hanoi,Vietnam,desktop,2129,0.0,0.0,0.0,0.0,0.0,3.0
101,2022-06-21 11:10,Hanoi,Vietnam,desktop,2129,0.0,0.0,0.0,0.0,0.0,2.0
102,2022-06-21 13:10,Hanoi,Vietnam,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
103,2022-06-22 08:10,Hanoi,Vietnam,desktop,0,1.0,1.0,100.0,0.0,0.0,1.0
104,2022-06-22 13:10,Hanoi,Vietnam,desktop,132,1.0,0.0,0.0,132.0,132.0,1.0
105,2022-06-22 13:10,Hanoi,Vietnam,desktop,132,0.0,0.0,0.0,0.0,0.0,2.0
106,2022-06-22 13:10,Hanoi,Vietnam,desktop,132,0.0,0.0,0.0,0.0,0.0,1.0
107,2022-06-23 13:10,(not set),China,mobile,0,1.0,1.0,100.0,0.0,0.0,1.0
108,2022-06-23 15:10,Hanoi,Vietnam,desktop,202,1.0,0.0,0.0,202.0,202.0,1.0
